id,nasa_hard,nasa_soft,nasa_vr
P1,7.5,9.5,11.166666666666666
P2,4.333333333333333,4.166666666666667,10.0
P3,6.5,7.0,3.6666666666666665
P4,5.666666666666667,6.0,11.0
P5,9.833333333333334,13.0,8.333333333333334
P6,4.333333333333333,6.833333333333333,5.333333333333333
P7,1.3333333333333333,5.333333333333333,11.0
P8,9.166666666666666,11.166666666666666,17.0
P9,10.0,10.666666666666666,14.166666666666666
P10,6.5,11.333333333333334,14.0
P11,5.5,12.833333333333334,9.0
P12,3.1666666666666665,2.3333333333333335,12.666666666666666
P13,2.0,5.333333333333333,3.8333333333333335
P14,5.333333333333333,6.333333333333333,10.0
P15,7.0,6.833333333333333,9.333333333333334
P16,3.6666666666666665,4.666666666666667,6.333333333333333
P17,7.5,8.666666666666666,10.333333333333334
P18,4.666666666666667,7.5,5.333333333333333
P19,1.8333333333333333,2.0,5.0
P20,1.1666666666666667,5.166666666666667,4.333333333333333
P21,8.666666666666666,8.166666666666666,10.666666666666666
P22,3.5,6.666666666666667,9.166666666666666
P23,3.1666666666666665,13.166666666666666,4.5
P24,1.0,1.8333333333333333,2.0
